concept,prefl,litf
http://vocab.getty.edu/aat/300055079,http://vocab.getty.edu/aat/term/1000643103-nl,reclameborden
http://vocab.getty.edu/aat/300081535,http://vocab.getty.edu/aat/term/1000489476-nl,vogelbaden
http://vocab.getty.edu/aat/300001993,http://vocab.getty.edu/aat/term/1000464210-nl,bolders
http://vocab.getty.edu/aat/300006962,http://vocab.getty.edu/aat/term/1000467704-nl,grensstenen
http://vocab.getty.edu/aat/300263126,http://vocab.getty.edu/aat/term/1000263126-nl,eruvin
http://vocab.getty.edu/aat/300081589,http://vocab.getty.edu/aat/term/1000081589-nl,exedrae (landschappelijke elementen)
http://vocab.getty.edu/aat/300005044,http://vocab.getty.edu/aat/term/1000466127-nl,afscheidingen (landschappelijke elementen)
http://vocab.getty.edu/aat/300082991,http://vocab.getty.edu/aat/term/1000489623-nl,vlaggenmasten
http://vocab.getty.edu/aat/300078898,http://vocab.getty.edu/aat/term/1000489170-nl,vrijstaande muren
http://vocab.getty.edu/aat/300079165,http://vocab.getty.edu/aat/term/1000489248-nl,palen (paarden)
http://vocab.getty.edu/aat/300101536,http://vocab.getty.edu/aat/term/1000489804-nl,lantaarnpalen
http://vocab.getty.edu/aat/300139095,http://vocab.getty.edu/aat/term/1000493210-nl,landschapselementen in de tuinarchitectuur
http://vocab.getty.edu/aat/300008910,http://vocab.getty.edu/aat/term/1000469243-nl,windschermen
http://vocab.getty.edu/aat/300264408,http://vocab.getty.edu/aat/term/1000612230-nl,koorden
http://vocab.getty.edu/aat/300055458,http://vocab.getty.edu/aat/term/1000486998-nl,toevoegingen
http://vocab.getty.edu/aat/300055457,http://vocab.getty.edu/aat/term/1000486995-nl,wijzigingen
http://vocab.getty.edu/aat/300234049,http://vocab.getty.edu/aat/term/1000506760-nl,toevoegsels
http://vocab.getty.edu/aat/300001656,http://vocab.getty.edu/aat/term/1000464008-nl,voetstukken
http://vocab.getty.edu/aat/300221558,http://vocab.getty.edu/aat/term/1000504340-nl,kassen (omrandingen)
http://vocab.getty.edu/aat/300047259,http://vocab.getty.edu/aat/term/1000484555-nl,rozetten (onderdelen)
http://vocab.getty.edu/aat/300042946,http://vocab.getty.edu/aat/term/1000483750-nl,koppen (voorwerpsonderdelen)
http://vocab.getty.edu/aat/300051285,http://vocab.getty.edu/aat/term/1000484898-nl,tegengewichten
http://vocab.getty.edu/aat/300133138,http://vocab.getty.edu/aat/term/1000133138-nl,details
http://vocab.getty.edu/aat/300239342,http://vocab.getty.edu/aat/term/1000507769-nl,oogjes
http://vocab.getty.edu/aat/300036363,http://vocab.getty.edu/aat/term/1000480989-nl,bevestigingsmiddelen (onderdelen)
http://vocab.getty.edu/aat/300233911,http://vocab.getty.edu/aat/term/1000506691-nl,voeten
http://vocab.getty.edu/aat/300233319,http://vocab.getty.edu/aat/term/1000506502-nl,beslagringen
http://vocab.getty.edu/aat/300233998,http://vocab.getty.edu/aat/term/1000506731-nl,flenzen
http://vocab.getty.edu/aat/300123316,http://vocab.getty.edu/aat/term/1000491290-nl,kleppen
http://vocab.getty.edu/aat/300015577,http://vocab.getty.edu/aat/term/1000472185-nl,uitklappagina's
http://vocab.getty.edu/aat/300014680,http://vocab.getty.edu/aat/term/1000471677-nl,duigen
http://vocab.getty.edu/aat/300219528,http://vocab.getty.edu/aat/term/1000503938-nl,vouwen
http://vocab.getty.edu/aat/300001316,http://vocab.getty.edu/aat/term/1000463811-nl,boogsegmenten
http://vocab.getty.edu/aat/300024927,http://vocab.getty.edu/aat/term/1000477171-nl,handvatten
http://vocab.getty.edu/aat/300033260,http://vocab.getty.edu/aat/term/1000480410-nl,ijzerwaren
http://vocab.getty.edu/aat/300037117,http://vocab.getty.edu/aat/term/1000481377-nl,koppen (onderdelen)
http://vocab.getty.edu/aat/300264840,http://vocab.getty.edu/aat/term/1000612262-nl,opvulling (mozaïekonderdelen)
http://vocab.getty.edu/aat/300263354,http://vocab.getty.edu/aat/term/1000511805-nl,lacunes
http://vocab.getty.edu/aat/300226788,http://vocab.getty.edu/aat/term/1000505267-nl,lagen
http://vocab.getty.edu/aat/300254142,http://vocab.getty.edu/aat/term/1000612029-nl,bladen (onderdelen)
http://vocab.getty.edu/aat/300266807,http://vocab.getty.edu/aat/term/1000495690-nl,lenzen
http://vocab.getty.edu/aat/300265322,http://vocab.getty.edu/aat/term/1000513595-nl,filmloops
http://vocab.getty.edu/aat/300003429,http://vocab.getty.edu/aat/term/1000465100-nl,lijstwerk (bouwkundig)
http://vocab.getty.edu/aat/300249766,http://vocab.getty.edu/aat/term/1000508678-nl,straalpijpen
http://vocab.getty.edu/aat/300190691,http://vocab.getty.edu/aat/term/1000496900-nl,delen of aspecten van objecten
http://vocab.getty.edu/aat/300015611,http://vocab.getty.edu/aat/term/1000472196-nl,belegging (deklaag)
http://vocab.getty.edu/aat/300069080,http://vocab.getty.edu/aat/term/1000488247-nl,regels (vlakdelen)
http://vocab.getty.edu/aat/300228472,http://vocab.getty.edu/aat/term/1000505675-nl,naden
http://vocab.getty.edu/aat/300259717,http://vocab.getty.edu/aat/term/1000510432-nl,schouderbanden
http://vocab.getty.edu/aat/300251154,http://vocab.getty.edu/aat/term/1000508914-nl,zijplanken (objectonderdelen)
http://vocab.getty.edu/aat/300197258,http://vocab.getty.edu/aat/term/1000498439-nl,stelen (objectonderdelen)
http://vocab.getty.edu/aat/300234003,http://vocab.getty.edu/aat/term/1000506733-nl,lussen
http://vocab.getty.edu/aat/300197245,http://vocab.getty.edu/aat/term/1000498435-nl,duimrusten
http://vocab.getty.edu/aat/300255080,http://vocab.getty.edu/aat/term/1000509707-nl,rangen (rijen)
http://vocab.getty.edu/aat/300264237,http://vocab.getty.edu/aat/term/1000512621-nl,samengestelde stoffen
http://vocab.getty.edu/aat/300242031,http://vocab.getty.edu/aat/term/1000507928-nl,systeemonderdelen
http://vocab.getty.edu/aat/300072553,http://vocab.getty.edu/aat/term/1000488609-nl,delen van gebouwen
http://vocab.getty.edu/aat/300000885,http://vocab.getty.edu/aat/term/1000463563-nl,architecturale elementen
